Modelo,Accuracy,F1 (weighted),Precision,Recall,Tempo (s)
XGBoost,0.9972948602344455,0.9972921286928539,0.9972944996061657,0.9972948602344455,55.32875466346741
LinearSVC,0.9936880072137061,0.9936837645925582,0.9936817719415979,0.9936880072137061,0.4485514163970947
Random Forest,0.9930117222723174,0.9929770146777878,0.9930624487054658,0.9930117222723174,2.640591859817505
SGDClassifier,0.992560865644725,0.9925291117134579,0.992586322458286,0.992560865644725,0.10956287384033203
Logistic Regression,0.9812894499549143,0.9810615001734765,0.9815178412498861,0.9812894499549143,0.3850517272949219
ComplementNB,0.9639314697926059,0.9640387617537298,0.964188568245309,0.9639314697926059,0.01813983917236328
MultinomialNB,0.9558160504959423,0.9548425359611292,0.9559096386613329,0.9558160504959423,0.019123554229736328
