Modelo,Accuracy,F1 (weighted),Precision,Recall,Tempo (s)
Extra Trees,0.9997761862130707,0.9997762220662992,0.9997763953848341,0.9997761862130707,9.786567449569702
Random Forest,0.9995523724261415,0.9995525157315757,0.999553208331975,0.9995523724261415,6.084065675735474
LinearSVC,0.999104744852283,0.9991044573805097,0.9991047201819065,0.999104744852283,4.220499277114868
SGDClassifier,0.9988809310653536,0.9988803916513969,0.9988810906620297,0.9988809310653536,0.6225283145904541
Logistic Regression,0.9917188898836168,0.9916711878322602,0.9917934355226616,0.9917188898836168,3.662832260131836
