experiment,name,preprocess_time,vectorize_time,vocab_size,train_time,predict_time,accuracy,f1_score,total_time
char_ngrams,Character N-grams (3-5 chars),4.381890058517456,82.17152523994446,10000,4.477981328964233,0.31685709953308105,0.9979861266502573,0.9958041958041958,91.03139662742615
baseline,"Baseline (HTML, URLs, etc)",4.282692909240723,16.751394748687744,10000,1.8638434410095215,0.04972696304321289,0.9979861266502573,0.9957726632221701,22.89793109893799
lemmatization,Lemmatization (stopwords + lemma),34.08261847496033,14.84341311454773,10000,2.021554946899414,0.0507962703704834,0.9966435444170956,0.9929411764705882,50.94758653640747
minimal,Minimal (lowercase + pontuação),3.1155683994293213,18.105352640151978,10000,2.9527530670166016,0.06806111335754395,0.9959722533005146,0.9915174363807728,24.1736741065979
aggressive,Aggressive (stopwords + stemming),85.15006828308105,14.823888778686523,10000,2.0144829750061035,0.05207228660583496,0.9955247258894607,0.9905571293673276,101.98844003677368
no_stopwords,Baseline sem stopwords TF-IDF,4.43024206161499,18.13171696662903,10000,3.200439453125,0.06449389457702637,0.994182143656299,0.9877010406811731,25.76239848136902
